40.2466,-111.648978,1403
40.2466,-111.648978,1403
40.2466,-111.648978,1403
40.246602,-111.648985,1404
40.246604,-111.649002,1404
40.246608,-111.649018,1404
40.246609,-111.649037,1404
40.24661,-111.649051,1404
40.246609,-111.649063,1404
40.246609,-111.649078,1404
40.246609,-111.649095,1404
40.246608,-111.649112,1405
40.246608,-111.64913,1405
40.246609,-111.649145,1406
40.246607,-111.649163,1406
40.246603,-111.64918,1406
40.246597,-111.649193,1406
40.246588,-111.649202,1406
40.246579,-111.649206,1405
40.24657,-111.649207,1406
40.246559,-111.649208,1407
40.246548,-111.649209,1406
40.246536,-111.649211,1406
40.246525,-111.649212,1406
40.246512,-111.64921,1405
40.246497,-111.64921,1404
40.246481,-111.649209,1403
40.246465,-111.649209,1403
40.246449,-111.649208,1403
40.246432,-111.649209,1403
40.246416,-111.649208,1403
40.246401,-111.649206,1402
40.246385,-111.649204,1402
40.24637,-111.649205,1402
40.246357,-111.649201,1402
40.24635,-111.649192,1402
40.246345,-111.649179,1402
40.246344,-111.649166,1402
40.246345,-111.649151,1402
40.246352,-111.649139,1402
40.246362,-111.649125,1401
40.246374,-111.649113,1401
40.246386,-111.649102,1402
40.246399,-111.649092,1402
40.24641,-111.64908,1401
40.246422,-111.649069,1402
40.246434,-111.649056,1402
40.246446,-111.649045,1402
40.246458,-111.649032,1402
40.24647,-111.649018,1402
40.246479,-111.649005,1403
40.246488,-111.648992,1403
40.246496,-111.648981,1403
40.246507,-111.648966,1404
40.246518,-111.648953,1404
40.246529,-111.648942,1404
40.246542,-111.648933,1404
40.246554,-111.648927,1403
40.246565,-111.64893,1403
40.246575,-111.648945,1403
40.24658,-111.648957,1403
40.246583,-111.648967,1403
40.246584,-111.648972,1403
40.246583,-111.648975,1404
40.246583,-111.648977,1404
40.246585,-111.648975,1403